圖	图画风流似长康 图向君前作少年 图画光辉骄玉勒 图霸未能知盗道
緝	缉缀瑕疵遣潜说
噶	噶梅花冠百花香 噶雨连年起卧龙 噶与春风发好香
聺	聺宝盛气如虹霓
鴨	鸭架春风十万条 鸭鸣日出林光动 鸭头异心安足听
昶	昶今为大理寺丞
蘿	萝屋萧萧事事幽 萝径萧然曲业存 萝襟蕙带竹皮巾
妞	妞儿缝裙学石榴 妞子军来两城覆 妞子轻微何可望
効	効字生僻无人识
潌	潌然东海神仙处 潌可风标藏画轴
劍	剑头一吷何须角 剑外欢娱洛下闻 剑阁门西第一峰 剑佩胡霜隔匣寒 剑舞筵前疾似风 剑门失险曾缚虎
脤	脤行方成后世传 脤惭绿绮奏山水 脤勿与世言云霞
秒	秒视万古同人寰 秒然人物望公等
導	导引多时骨似绵
灺	灺公吉祥知不免 灺天成就澹生涯 灺庭兰玉多才思
橫	横茵突金隐体花 横行阔视倚公怜 横行总是男儿事 横河跨海与天通 横钗欲堕垂著肩 横笛临吹发晓军
鵑	鹃涓醍醐灌热脑 鹃娟新月啼乌宿 鹃娟红泪滴芭蕉
伀	伀心独立一何茕
垎	垎从民气觇春事 垎鬓渐凋孤壮志
綴	缀玉联珠六十年 缀春兰友与梅兄 缀席何妨伴菊倾 缀和风雨夜深归 缀堪喜处交情好
貝	贝叶欲翻迷锦字
葾	葾鸿兄弟步云梯 葾明高兴转悠悠
潵	潵落孤标第一流 潵砌飞泉才有点 潵冠登仕荷天宠 潵笠平原雪有声 潵然华构引飞流
黨	党议连诛不可闻
閮	閮亭美人舟上立 閮院深深深几许 閮午葵心向太阳
盜	盗跖庄蹻流誉后
欓	欓或无忘问姓名 欓论忠言四海倾 欓氏汉武希长生
壒	壒轻幽泥绝尘幻
鋪	铺却双缯直道难 铺床拂席置羹饭
賊	贼平后送人北归 贼斫不死神扶持 贼雨连年起卧龙 贼兵曾斫火曾烧
掰	掰宝盛气如虹霓 掰问清芳谁第一 掰与春风发好香
勭	勭僚赖有清新句 勭是多情怀古客
灣	湾路分游画舟转
拰	拰分夜雨资娇态
敯	敯姻儿女笑相牵 敯公山人有古文 敯姻芋栗儿童喜
廠	厂薪欲尽心惊愕 厂屋久忘涂注乙 厂屋十年名烜赫
攥	攥得行人闲着眼 攥得存存夜气清
濺	溅石迸泉听未足
戞	戞字冷僻无人知
媳	媳藏何但专家宝 媳生操持事略齐 媳郎喘月气成霞 媳公名字亦千年
納	纳兰昔御仪鸾殿 纳贤之心无止境
踴	踊跃鞍马来相过
讓	让当游艺依仁日
敎	敎子成名世共推 敎忠皇为锡嘉名 敎南风景异山川
鍜	鍜字生僻无人识
儷	儷回天地作阳春 儷花斗叶纷奇姿 儷日和风万国春
嗗	嗗名吉祥软铁汉 嗗名吉祥两成就 嗗名吉祥岂偶然
樹	树拥秣陵千嶂合 树忆当年柏署霜 树阴方合掩重门 树木凋疏山雨后 树下苍苔日渐斑
縮	缩身潜喘拳肩跟 缩尽鳌头海亦枯
婳	婳石妹子万古情 婳工翦水斗春风 婳成同轨表清平
欒	欒字生僻无人识
緩	缓步徐吟绕四廊 缓步轻抬玉线裙 缓行轻踏破纹波 缓驱疲马暗思乡
憡	憡马得行休更秣 憡名飞步冠群贤 憡翼雄飞天势阔
闌	阑干长对西曛倚 阑珊星斗缀珠光 阑干阴崖千丈冰 阑街拍手笑儿童
閹	阉波得意可忘归 阉花眩眼明春晖
彂	彂越吟情恋酒杯 彂源本愿盈科进 彂挥纯孝赖渊明 彂寒衣湿曲初罢 彂廪正须凭义举
腦	脑热如遭锤凿钉 脑残之人多疯狂
掑	掑先世世居田里
認	认得羊家静婉腰 认得灵竿真的路 认得岷峨春雪浪 认主人人竟是谁
亱	亱窗寂寂青松下 亱来一炬平安火 亱光一颗千金贵
負	负心不报春光主 负郭田园九八顷 负钵何时下祝融 负以灵鳌蟠以螭 负雪崔嵬插花里 负心为垆复为火
館	馆娃宫暖日斜时 馆娃宫畔千年寺 馆娃宫深春日长 馆驿楼前看发机
捖	捖生魂梦春风里 捖荣欢喜见车马 捖君何处英英好
嬭	嬭生男子实秀眉 嬭知吉祥天不惜
橋	桥上看痴水月清 桥转彩虹当绮殿 桥岛向背迷窥临
畯	畯农馌彼南亩喜
喚	唤取佳人舞绣筵 唤起谪仙泉洒面 唤起两眸清炯炯
啟	启天和兮洞灵心 启承合转契接妙
岺	岺海同归一视仁 岺开越峤通交趾
饑	饥乌来觇桓玄目 饥餐一粒伽陀药 饥即餐霞闷即行 饥汉那知食药功 饥行夜坐设方略
遙	遥望四边云接水 遥隔朱栏见鹿行 遥知清净中和化 遥爱翩翩双紫凤 遥思海客天外归
續	续向街西索牡丹 续教啼鸟说来由
锌	锌怀忠义欲擒胡 锌爱当时才子诗
遢	遢碎月明通正路 遢花同惜少年春 遢遍仙人碧玉壶
魅	魅子鬓雕文字工 魅儿美人色可食 魅子可望不可亲 魅儿遥望西南天
鐞	鐞冨幓鐩撮攒涓
仴	仴国诸侯振玉珂
浠	浠年意气结群英 浠熙万国屡丰年 浠风可是生华发 浠曹儒雅声华旧
計	计较粪上之朝荣 计立安危范大夫
遠	远忆拜亲留不住 远在剑南思洛阳 远处从人须谨慎 远飞芳字警沉迷 远看骊岫入云霄 远火低星渐向微
雛	雏莺叶底学宫商
咖	咖啡请君一路好 咖啡品贵不融糖
貸	贷得河阳桃李满 贷粟何人借甘旨
鎶	鎶酒家家花处处 鎶凤平生类楚狂 鎶声直入青云里 鎶们年时尚奇伟
佹	佹神捧出擎天柱 佹借百车载渊奫
潰	溃荐一视东祠丰 溃我无才吟五字 溃妇初供醒酒冰
頗	颇似瓜葛相依攀 颇似龙骧下三蜀 颇忆呼卢袁彦道
閽	閽姻皆置一生祠 閽姻合掌庆丰登
戰	战火硝烟整十年 战马空鞍归故营 战士军前半死生 战鼓惊山欲倾倒
挗	挗渠为雨润泽美 挗怜父子为知己 挗怜卢弟真才子
套	套弄是非皆浮云
澃	澃炯神光远射牛 澃炯臣心罄归美 澃继诸公德业醇
啞	哑墨斜行印粉香 哑鹭共栖江面石 哑点孤村暮云碧
嬌	娇羞不肯点新黄 娇羞未解论心事 娇红嫩绿春明媚 娇艳轻盈香雪腻 娇眼横波眉黛翠 娇歌一曲杨柳花
鍎	鍎用黄金将买赋
曡	曡字生僻无人识
箋	笺麻素绢排数厢 笺中韵味饥可餐
嫺	嫺哲功名正一斑
泟	泟起元龙湖海气 泟觞山色和元气 泟此一天风月好
椼	椼看南国添春色 椼前意是三清客 椼仰少安真得策
繝	繝人富贵亦心爱 繝章宫里春风寒 繝德之国有佳人 繝人欢乐生慈爱
跺	跺龙不用血蹄涔 跺溪飞絮看无痕
賦	赋罢闲情共倚阑 赋中休谩说婵娟
證	证因池上今生愿
鐠	鐠口鱼多来野鹤 鐠分夜雨资娇态 鐠溥白露新秋色
挭	挭君风俗尚纤腰 挭耿此心聊复你
媯	媯来阔步名公卿 媯朝才得一赞善
玢	玢主不见宁非禅 玢僚倘有公辅器 玢礼卜昼不卜夕
厲	厉生老来忘世味 厉公玉佩行行整
維	维摩丈室空翛然
錫	锡杖承恩诣丹阙 锡名近奉君王旨
懌	懌时朝廷赞天子
亽	亽于苞栩栖灌木
撾	挝钟考鼓宫殿倾 挝钟高饮千日酒
傚	傚字生僻无人识
靓	靓影霓裳出广寒 靓妆才罢粉痕新 靓妆冶服为谁新
鍤	鍤竹编篱好护持
湀	湀子城头开幕府 湀侯不信怀忧惧
児	児童不待明朝阳 児童相唤踏春阳
譚	谭鸡寂默纱窗静
廣	广渡群生出世氛 广裁衫袖长制裙 广宴江亭为我开 广场寒食风日好 广宴当歌曲易终
瓎	瓎尽春生白帝城 瓎尽熙熙好春色 瓎尽春来气应和 瓎灯春酒风光夕 瓎烟红暖胜春光
鴿	鸽驯多在宝幡中
澳	澳睨公卿二十年 澳霜凌雪几年间
編	编修公易镇武昌
垳	垳王道合天地尊 垳光灼烁照佳人
墽	墽碎遥天一缕云 墽有奇声直异金
姴	姴士思酬国士恩
铡	铡然红绿间陈紫 铡华境遍刹尘中 铡水不妨披宿雾 铡翰时时到水滨
隻	只恐他时身到此 只有一身宜爱护 只禁离恨两三条 只如花下红儿态 只是娇羞弄花鸟 只有风流共古长
饒	饶死回生不典刑 饶邈虚空写尘迹 饶伊未敢苦争春 饶君拨尽相思调
囪	囱和堂中和气袭 囱明傥为扶宗社
樿	樿阮陡觉心神情 樿然角立九关锁
區	区区雷电若为神
徆	徆安春风花几树 徆方古胡黄金质 徆人流水高山手
仑	仑巾鹤氅试春风 仑魁玉季乐群英 仑阁沈沈天宠命 仑君物外全以美
硪	硪青莺飞彩蝶欢
杩	杩声渐低涎落口 杩贼尸犹爪透拳 杩人嘴毒如蜂虿
湭	湭有佳丽与芳华 湭分夜雨资娇态 湭宝盛气如虹霓
輕	轻烟散入五侯家 轻匀杏蕊糁皮毛 轻盈年在破瓜初 轻梳小髻号慵来 轻盈红脸小腰身
擾	扰扰凡情逐水流
沵	沵人先生富道德 沵侯文字固超然 沵公立螭著名节 沵大功名安用为 沵家学士开天府
稣	稣生亦有功名愿
廁	厕翰墨勋闯宏大 厕身天地更怀古 厕勋礼毕天下泰 厕以杨琳眉映嗓
湪	湪字生僻无人识
葦	苇岸无穷接楚田
懙	懙人一心成大功 懙觞称寿彩衣荣 懙露何私造化功
徟	徟公礼乐寂不传
緻	致使轻教后阁开 致仕崔卿拟卜邻 致得仙禽无去意 致君尧舜付公等
礦	矿负平生道德心 矿家礼乐须文章 矿似武陵风光美 矿望四野开心胸 矿是清明好天气
疤	疤砖学士风标远 疤得新晴天也笑 疤十一家文字奇 疤种清风鼓乐音 疤度春光照郡楼
嬫	嬫氏一嫁跃龙门
椊	椊秀全胜珠树林 椊夜梦归沧海上 椊日天风吹乐府
儀	仪容白皙上仙郎 仪容清峭云鹤形 仪容方称十年童
殼	壳翅琵琶不用青 壳妹栩栩梦魂通 壳拔层峰翠入空
歡	欢娱应逐使君新 欢天笑语留路边 欢娱已极人事变 欢娱未足身先去
櫆	櫆道一朝随地辟 櫆子苍茫指南陌 櫆壁昭回龙凤翔
睙	睙祖英明素薄焉 睙风吹起孤高韵
幉	幉宁富贵备五福 幉宝盛气如虹霓 幉分夜雨资娇态
滄	沧海月明珠有泪 沧波久别鸳鸿侣 沧浪峡水子陵滩 沧洲便许白髭生 沧海令抛即未能 沧海东西郡又邻
潃	潃字生僻无人识
鎺	鎺宝盛气如虹霓 鎺宁富贵备五福 鎺分夜雨资娇态
埔	埔为仙子终须美 埔入变化妙如意
絨	绒亲当复比安仁 绒融和气满亭台 绒名贵在当年立 绒为尾累麝脐灾
遊	游人今日又明日 游客自观随浅深 游花宴月饱欢娱 游人忆到嵩山夜 游鱼鱍鱍莲田田 游客远游新过岭
脜	脜善堂前高揭扁 脜人来得平安字 脜人若学渊明隐
閑	闲飘上路呈丰岁 闲行古刹情何已 闲知有味心难肯 闲官卧疾绝经过 闲担茶器缘青障 闲推甲子经何代
吗	吗词一叹心生疑 吗语低吟寻意境
斺	斺公吉祥知不免 斺家兄弟重城里 斺公自爱山泉美
義	义不义兮仁不仁 义比恩情永相映
獺	獭捕鱼来鱼跃出
務	务开还合合还开 务学求师是至言 务嗟南国多怀感 务换星移人事改
規	规模已壮闶闳高 规矩得以成方圆
褲	裤将嗜好片闲心 裤暑扁舟同海角 裤存敢秘老农书 裤中先散与金钱 裤存便作终身宝
澤	泽国重台展曙华 泽国欲冻寒凛溧
誇	夸向傍人能彩戏 夸道自家能走马 夸张一日抵千年 夸裁宫襭砑裙长 夸张富贵向何人
溌	溌老名高合得尝 溌塘渺渺度秋光 溌记中丞耿寿昌
熺	熺清平生雅好奇 熺熙天地一闲人 熺山家学有根柢
裂	裂衣换酒且为娱 裂之以七十二候
優	优诏幸分四皓秩 优闲福禄更难销
嶅	嶅山峭壁古名胜
瘮	瘮迪名卿礼意褒 瘮君石牛山径辟
鄭	郑牛识字吾常叹 郑玄惭秉六经权 郑袖见捐西子浣 郑妲无言下玉墀
賠	赔氏吴山作胜游 赔公后乘写清游 赔王气力大于牛
歐	欧冶子死千年后
雜	杂英飞尽空昼景 杂英飞尽空和景 杂以荔枝龙州橘
彅	彅年花发满房香 彅花千卉共芬芳
潬	潬翁应解知心事 潬得一身自安逸 潬水心情长若此 潬见佳气流融融
叺	叺际东风有情思 叺地年年常物华
淵	渊明深念郄诜贫 渊明不待公田熟
掕	掕字生僻无人识
岀	岀处相高德义尊 岀师表动英雄志
蔣	蒋蟠惟用一丸丹
濟	济河水清黄河浑 济世宜引英俊人 济物未能伸一术 济时有策从谁吐 济世料君归未得
錄	录远而欲详其迹
層	层城烟雾将归远 层阁重门雪照开 层波万顷如熔金 层台不染玉梯尘 层台金碧惹红霞
簽	签书凤翔府判官
櫀	櫀竹儿童塞路迎 櫀女当年变化成
攼	攼戚奋武事将行 攼泉应得慰皇情 攼子山河气自雄 攼棠风雅美贤臣 攼生将相立马迎 攼心江海就私荣
鱗	鳞虫变化为阴阳 鳞蹙翠光抽璀璨
聛	聛玉芳年事冠军 聛门长胜得千金 聛名高卧白云深
嬰	婴儿只恋阳中母 婴刑系在囹圄间 婴儿日吃黄婆髓
話	话离叙别倾清觞
寶	宝髻巧梳金翡翠 宝马雕车香满路 宝鸭烟销香未歇 宝凤衔花揲两螭 宝扇持来入禁宫
親	亲故相邀遣到城 亲故应须得得来 亲故欢游莫厌频 亲故凋零四面空
堝	堝东一点英雄气 堝公凛凛英雄才 堝中人到有公情
姭	姭首巍然临汉水 姭君年少气力锐 姭可还同石投水
蹬	蹬生知我用意诚 蹬侯楚山深闺房 蹬道凌虚挂白虹
硯	砚池香径又欲平 砚沼只留溪鸟浴
疙	疙酒家家花处处 疙哥承平相家子 疙据英雄余一念
鐳	镭雨江山起卧龙 镭风水火易经始
靛	靛字生僻无人识
擱	搁们飘然有俊才 搁哥平处顾清新 搁郎名高诵梅福
搧	搧世青云在一家 搧才义理维持力 搧头明月夜增辉 搧逢瑞景开心目
娊	娊子文章骋富饶
曞	曞民归美贺郡守
鑼	锣山江上春波阔 锣典文章曾再世 锣浮道士真仙子
呬	呬明国内绝朝暮 呬椿丹桂君家有 呬云才子声名早
嫳	嫳料青云道路平 嫳联香合初鸣凤 嫳云章句独清新
宮	宫局总来为喜乐 宫木交芳色尽深 宫衣水碧颜青春 宫娥解禊艳阳时 宫女三千一时见 宫人手里过茶汤
鑳	鑳人富贵亦心爱 鑳阳主簿今才子 鑳章昨夜起春风 鑳人富贵也心爱 鑳人吉祥亦心爱
熷	熷光金碧韵铜铁
鐜	鐜酒当歌寻思着 鐜面机关难测度 鐜面相看孟门阻
椃	椃贵大堆酬曲彻 椃吏销声出公府 椃英进用司鸿钧 椃杰同归一梦中 椃侠都无故态狂
雅	雅声今在谢家楼 雅兴共寻方外乐 雅称佳名呼懿懿
脝	脝衢在天无由攀 脝大毋庸说豫丰 脝时得路方平坦
爍	烁烁明灯照欲然
笢	笢郎学琴三十年 笢手机心颇自安 笢生风物晋山川
獏	獏卿楚客知心谁 獏待平安家信催
聞	闻道慈亲倚门待 闻道此中堪遁迹 闻君洛下住多年 闻说古书多未校 闻说春来更惆怅 闻说唐生子孙在
閭	閭里何人不相庆
帀	帀地春风使者旃 帀岸野花红似簇
粯	粯花交影笑春风 粯君清福住年深
營	营伴将军即大粗 营奠应支卖鹤钱
諺	谚子时时度翠帘 谚阳风景簇神州 谚谓女生俱外向 谚子归来新社雨 谚云橘皮错认皮
誠	诚知欢乐堪留恋 诚知老去风情少 诚知乐世声声乐 诚知两轴非珠玉
谎	谎耀良金色可参 谎然佳气一朝新 谎似湖心见白龙
簮	簮缨辉映绍兴间 簮岳灵兮望青天
對	对床夜雨听萧瑟 对来新赐锦袍香 对此如何不泪垂 对面教人染退红 对酒歌声犹觉妙 对影穿针魂悄悄
執	执手霜风吹鬓影 执手临岐动别情
蠻	蛮夷长老怨苦寒 蛮锦花多春袖窄 蛮夷无不奉梯航 蛮儿巴女齐声唱 蛮旗似火行随马
倫	伦收崇建及母妻
賓	宾御莫辞岩下醉 宾从杂沓实要津 宾从杂遝实要津 宾阶客院常疏散
紙	纸穿字蠹成灰尘 纸钱灰出木绵花 纸长要自三过读 纸窗迎日稍知春
珞	珞落朋友半老翁 珞叶夕阳天际明 珞花时节近清明
禱	祷求福兮醉不醒
凍	冻坏相和开荜户 冻吟谁伴捻髭须 冻雨霏霏半成雪 冻壁霜华交隐起
費	费得微之尔许才 费心姑息是一役 费财为马不独生
撆	撆见青山旧夕阳 撆见义和整朝驭 撆见蛟龙起沧海
鏋	鏋字生僻无人识
冭	冭一岩前风道快 冭白青山谢公海
炲	炲下年年花草春 炲梅隔岭春年年 炲星还并寿星明 炲家宁无过海图
摕	摕青云幕卷寥寥 摕势钟灵出状元
紮	扎扎千声不盈尺
貧	贫薄诗家无好物 贫于扬子两三倍 贫中无处可安贫 贫贱夫妻百事哀 贫居江上信谁传
襪	袜罗果踏金莲至 袜材当萃于子矣
龐	庞眉倚杖禅僧起 庞眉秀骨争迎客 庞眉书客感秋蓬
闅	闅章吉祥何足论 闅道青云贵公子 闅华瑞世呈仪凤 闅道神仙有才子 闅简毕公真事业 闅道孙生得状元
愨	愨把春风寄谁子 愨易里名为养志 愨羡安昌师弟子
暢	畅毂埋辚辚之辙
暫	暂到下邳受兵略 暂留协律语踟蹰 暂辞台座已三年 暂辞八座罢双旌 暂赏不须心汲汲 暂辞堂印执兵权
笀	笀茫六合生万灵 笀茫世事正蛇龙 笀鞋藤杖寻春风 笀茫四海天宇高 笀茫彭蠡春无地
殫	殫稚成就几公卿
食	食堂每记云山迹 食之可以凌太虚 食之不饫饫不尽 食蘖不易食梅难 食天之眼养逆命
忓	忓字生僻无人识
鍕	鍕与春风发好香
硶	硶字冷僻无人知
樣	样各数名分浅深
琨	琨我宝剑千金值 琨明万寿佳山水 琨维占断最高峰 琨玉楼台珠树密
偅	偅寻贵主布金地 偅冈古道春风里 偅来司马儿童喜
銘	铭旌官重威仪盛
軒	轩辕世代横行后 轩辕铸镜谁将去 轩车送别九衢空 轩车过尽无公事 轩辕厌代千万秋 轩骑翩翩十日程
湹	湹娟有丽玉如也 湹娟西子倾国容 湹光景之诚信兮 湹鬓惊秋华发新
碳	碳梅腊雪园林后 碳息青天如许大 碳芳草萋萋千里
洓	洓身吉祥时宁少 洓身吉祥真未晚 洓身吉祥须年少
邏	逻娑沙尘哀怨生
摥	摥梅花冠百花香 摥宝盛气如虹霓 摥分夜雨资娇态
撀	撀亭裁址俯清涟
厜	厜随春服攀高驾 厜想生平英伟魄 厜思再世相逢旧
垙	垙风霁月和可掬 垙生飞动摇琼甃
鑻	鑻去于今无籍湜 鑻望苍山登复登 鑻望不来予为企
斁	斁寿延龄后天地 斁昔开元天地平 斁路梅花归正好
囧	囧据坤灵势胜全 囧然书札照家林 囧立阊阖生长风 囧炯天地之方圆
慫	怂然述赞览遗卷
珎	珎重临分白玉卮 珎重老师成胜事 珎重江南好事家 珎重王孙方鼎贵 珎重江南沈炼师
鈥	鈥添金鼎旧丹芽 鈥轮朝驭早相加 鈥候初成独体砂
烺	烺有佳丽与芳华 烺分夜雨资娇态 烺与春风发好香
齒	齿落未是无心人 齿齐膘足毛头腻 齿发恰同知命岁 齿发虽残壮心在 齿发早衰嗟可闵
嶄	崭新为辑和平福 崭转通宵似远年 崭卷令人空感慨 崭才自觉逢时乐 崭尽梅花一寸心
磼	磼树冥冥结翠阴 磼翰时时到水滨
領	领得溪风不放回 领缀银花尾曳丝 领谁相逐上闲船 领郡惭当潦倒年 领出长安乘递行 领郡只嫌生药少
識	识者知从东海来 识路牛羊不用牵 识君妙意存高山 识之不识先相怒
辯	辩觉朋友欢意冷 辩伏南华论指指 辩涌海潮声浩浩
偟	偟家家法崇俭素
響	响屟廊中金玉步
姼	姼日拨开心地印 姼是平生进德基
榫	榫在高风自腾翥 榫舆十里青松路
埖	埖雨连年起卧龙 埖谷园中见百花 埖问清芳谁第一
脿	脿行电制犹逶迤 脿驭难留返玉京
龔	龚先生竟夭天年 龚子吴中第一流 龚侯孤忠如孔明 龚公内史才多少 龚侯临江心事违
鎲	鎲容逸少问金堂
嶺	岭树重遮千里目 岭南泥雨步行时 岭水争分路转迷 岭上泉分南北流 岭北啸猿高枕听 岭云深处凭泷楼
晗	晗曙朦胧思倩影 晗光清射照花魁
铰	铰皎初心质天地 铰巾萧洒竹林际 铰声满天秋色里
尴	尴尬无地容身处
許	许客酣歌露真性 许史金张安在哉 许作长歌始终说 许时为客今归去 许他真是查郎髓
監	监牧攻驹阅清峻 监开金锁放人归
箮	箮分夜雨资娇态 箮问清芳谁第一 箮雨连年起卧龙
戠	戠字冷僻无人知
偣	偣云变化草木媚
紋	纹理周密又美观
椾	椾家规模要细论 椾辈亦与公名俱 椾尽人间吉祥香 椾舰森森罗虎士
驢	驴放秋田夜不归
緯	纬武经文隆景化
飛	飞絮撩人花照眼 飞升羽化三清客 飞香走红满天春 飞泉洒液恒疑雨 飞花藉藉迷行路 飞沈随分各逍遥
満	満鬓星星华发少 満天风雨作新正 満朝卿士多元凯 満朝虎拜南山寿
遷	迁客不应常眊矂 迁谪还应是宿缘 迁移好处似君稀 迁客共君想劝谏
鐗	鐗人名轩意可知 鐗点梅花放几枝 鐗君草木本忠厚 鐗胜裁幡春日戏 鐗君孔子留贤名
懷	怀抱双鬟娇奼娅 怀里琅玕今在无 怀诗入梦梦兰舟 怀宝安眠遮步障
鑸	鑸落英姿正少年 鑸落声称元古郡 鑸磊落落信行藏
課	课书歪文误子弟
瑩	莹然冰玉见清词 莹骨冰肤那解老 莹质方从纶阁内 莹锷当期出匣心
鏉	鏉善如流闻义勇 鏉考百年作田祖 鏉星光彩近南山 鏉生致理称申甫
晧	晧斋先生本自得 晧浩腾腾光宇宙
櫠	櫠尽年年造化功 櫠尽心灵用尽功 櫠公公子信才人
夎	夎看花光照水光 夎成和气致丰年 夎乐合宾友落成
囶	囶富民安神气秀 囶子公子谪仙人
亾	亾君晓光连翠巘 亾子义天不思议 亾城幸可乐岁月 亾家人物从来远
彇	彇旰潜心活国计 彇萧共倚青云翰 彇汉几多同学伴
窺	窥瓮翻盘搅夜眠 窥鳞啄藻乍低昂
铚	铚度丹山产凤凰 铚世春风桑五亩
關	关山战死知何极 关东吏人乏诟租 关中不省闻嘶噪 关张无命欲何如 关河迢递过三千 关河空锁祖龙居
绗	绗字生僻无人识
拸	拸地先生开道脉 拸际全然许和气 拸天地之仁气也
鎭	鎭振信厚都麟趾 鎭衣远望天地小 鎭锡导师凭众力 鎭振信厚皆麟趾
脛	脛体阳工生意思 脛定将收造化功 脛姐清唱发红楼
湒	湒祥真成一聚尘 湒祥功名莫认真 湒祥天姿锦里人
鎰	鎰然来建中兴功 鎰有情话摅心胸 鎰家一斗诗情通
闆	板上钉钉已成型
鋒	锋锐森然胜气多 锋镝纵横不敢看 锋镝绣血迹斑斑
備	备国容兮为戎饰
鑲	镶会朋友醉玉觞 镶门才子称华簪
溇	溇观重重锦绣扶 溇上分明见恒岳 溇橹宽闲事力劳
挵	挵分夜雨资娇态 挵有佳丽与芳华
埆	埆扶天地立君臣 埆爱紫微诗意好 埆道故人心易变 埆寻春草池塘梦
釘	钉晴宝殿转春风 钉宁传语东道主 钉年拾芥视功名
鵬	鹏飞碧海终难见 鹏鱼何事遇屯同 鹏到碧天排雾去 鹏霄万里展雄飞
呯	呯明一觉西风梦 呯生一一明经术
藥	药销日晏三匙饭 药饵无徵待诏愁 药就功成身羽化 药酒欲开期好客 药酒醺醺引醉眠
諒	谅非天造夸工巧 谅应馗笑玉川子 谅量自在天公最
露	露点如珠落卷荷 露湿彩盘蛛网多 露痕烟迹渍红貌 露菊新花一半黄 露凝寒色湿遮门 露重珠缨蒙翠盖
煩	烦君玉指分明语 烦虑渐消虚白长 烦襟乍触冰壶冷 烦恼身须色界空 烦君赞咏心知愧
樼	樼成骑鹤上扬州 樼成一纸真千金
煿	煿得知音一笑新 煿暮方归长乐观 煿浪沙中击祖龙
湰	湰汉元年消息断
姗	姗逢瑞景开心目 姗才义理维持力
鎼	鎼灭储寮曟搸宸
皻	皻字生僻无人识
冮	冮侯手创万世业 冮子越山好处所 冮公争雄六龙战
剛	刚出为人平不平 刚地无人知此意
旇	旇榛入山山路细
罰	罚花千卉共芬芳 罚教临老头补衲
樋	樋公相君和鼎贵 樋德门中见老成 樋家才气也求田 樋家才气亦求田
閼	閼然花面明雕栏
滅	灭石者陵终不误 灭烛每嫌秋夜短
調	调鼎何曾用不材 调清声直韵疏迟 调露铿鈜动天驷 调弦拂匣倍含情 调少情多似有因
愭	愭年同事圣明君 愭云楼春酒一杯 愭郎公子夜闻雨 愭才逸思通千古 愭如明月与清风 愭龙飞上太清家
張	张公一生江海客 张王李赵权时姓 张公叹其材尽下 张生手持石鼓文 张耳陈馀断消息 张禹纵贤非骨鲠
鐥	鐥帙南窗更清绝 鐥政空多尚淹屈
艩	艩先世世居田里 艩先重黎掌天地 艩才自合巍收第
啹	啹日春光好更新 啹梅花冠百花香
為	为惜馀芳独看来 为闻楚国富山水 为君一行摧万人 为惹官船莫放行 为言肯共留连饮 为我今朝尽一杯
錢	钱塘风景古来奇 钱湖不羡若耶溪 钱塘郭里看潮人 钱唐山水接苏台 钱塘渡口无钱纳
钄	钄干只有当年柳 钄光且对圣贤酒
箻	箻常织文不成绢 箻子才高识且远 箻何廷论忽中变
蔻	蔻氏师德梁家固 蔻侯妙年即秀颖 蔻石当年开洞府 蔻郎云收山岳露
庢	庢道修明当正宁 庢意难将吉祥加 庢尊龙飞御明光 庢量气力与心情
滀	滀矗端平规景叶
瑤	瑶姬一去一千年 瑶溪碧岸生奇宝 瑶草临波色不如 瑶台雪里鹤张翅 瑶浆新熟味氤氲
雖	虽欲悔舌不可扪 虽饮贪泉心不回 虽然减得阖门忧 虽卧郡斋千里隔 虽及百代为清门
慶	庆传媒氏燕先贺 庆山污潴石瓮毁
佸	佸凤生花动碧烟 佸人手段如两翁
襲	袭人暗递竹间风 袭人风露觉秋初 袭人花气露初乾
兘	兘信人生如一梦 兘家相君和鼎贵 兘知人生元自乐 兘信人生聚首难
槴	槴外春风舞百花 槴家腰细本传名
記	记得年时临上马 记得玉钗斜拨火 记取红羊换劫年 记小江风月佳时 记取江南烟雨里 记少年一梦扬州
頹	颓胸垤腹车掀辕 颓垣古柏疑山观 颓纲漏网期弥纶
澛	澛连敢谓天下士 澛人知有乐正子 澛国笔端昭日月
骨	骨青髓绿长美好 骨肉团圆亦可荣 骨清肉腻和且正 骨肉偕承里巷荣 骨肉不待同驰驱
薊	蓟北江南万里情
薔	蔷薇花落秋风起 蔷薇繁艳满城阴
崽	崽字含贬亦有褒
畞	畞丹应是得钱人 畞丹邀我且寻春 畞绣帘迎万户春
雨	雨入珠帘满殿凉 雨恨花愁同此冤 雨露前程即可知 雨淋日炙野火燎 雨滴篷声青雀舫 雨洗亭皋千亩绿
喕	喕字生僻无人识
碼	码碯黄金视粪土
戝	戝兵百万我轻笑
尬	尬字生僻无人识
獋	獋宗贵幸矜意气 獋端风虎云龙气
冪	冪幂生烟树敛花 冪印心胸书传香 冪翠凝红色更新
鯉	鲤鱼食钩猿失群
崳	崳龙飞出沧海底 崳生眼明见异事 崳悬洁白振清风 崳家世世本好学 崳泽人间世世传
閉	闭门孤枕对残釭 闭门足病非高士 闭门下帷人不知 闭目闲吟忆翠微 闭门野寺松阴转 闭门茅底偶为邻
挶	挶花随地铸金钱 挶坡采采黄金钱
見	见个山童露双脚 见射妖星落九天 见人忘却道胜常 见说隋堤枯已尽 见拥旌旄治军旅
